Timestamp,Humidity,Temperature,Soil Moisture
2025-02-16 08:06:07,35.00,24.00,0
2025-02-16 08:06:09,35.00,24.00,0
2025-02-16 08:06:12,35.00,24.00,0
2025-02-16 08:06:14,35.00,24.00,0
2025-02-16 08:06:17,35.00,24.00,0
2025-02-16 08:06:19,34.00,24.00,0
2025-02-16 08:06:22,34.00,24.00,0
2025-02-16 08:06:24,34.00,24.00,0
2025-02-16 08:06:27,34.00,24.00,0
2025-02-16 08:06:29,34.00,24.00,0
2025-02-16 08:06:32,34.00,24.00,0
2025-02-16 08:06:34,34.00,24.00,0
2025-02-16 08:06:37,34.00,24.00,0
2025-02-16 08:06:39,34.00,24.00,0
2025-02-16 08:06:42,34.00,24.00,0
2025-02-16 08:06:44,34.00,24.00,0
2025-02-16 08:06:47,34.00,24.00,0
2025-02-16 08:06:49,34.00,24.00,0
2025-02-16 08:06:52,35.00,24.00,0
2025-02-16 08:06:54,35.00,24.00,0
2025-02-16 08:06:57,35.00,24.00,0
2025-02-16 08:06:59,35.00,24.00,0
2025-02-16 08:07:02,35.00,24.00,0
2025-02-16 08:07:04,35.00,24.00,0
2025-02-16 08:07:07,35.00,24.00,0
2025-02-16 08:07:09,35.00,24.00,0
2025-02-16 08:07:12,35.00,24.00,0
2025-02-16 08:07:14,35.00,24.00,0
2025-02-16 08:07:17,35.00,24.00,0
2025-02-16 08:07:19,35.00,24.00,0
2025-02-16 08:07:22,35.00,24.00,0
2025-02-16 08:07:24,35.00,24.00,0
2025-02-16 08:07:27,35.00,24.00,0
2025-02-16 08:07:29,35.00,24.00,0
2025-02-16 08:07:32,36.00,24.00,0
2025-02-16 08:07:34,36.00,24.00,0
2025-02-16 08:07:37,36.00,24.00,0
2025-02-16 08:07:39,36.00,24.00,0
2025-02-16 08:07:42,36.00,24.00,0
2025-02-16 08:07:44,36.00,24.00,0
2025-02-16 08:07:47,36.00,24.00,0
2025-02-16 08:07:49,36.00,24.00,0
2025-02-16 08:07:52,36.00,24.00,0
2025-02-16 08:07:54,36.00,24.00,0
2025-02-16 08:07:57,36.00,24.00,0
2025-02-16 08:10:47,39.00,23.00,0
2025-02-16 08:10:49,39.00,23.00,0
2025-02-16 08:10:52,39.00,23.00,0
2025-02-16 08:10:54,39.00,23.00,0
2025-02-16 08:10:57,39.00,23.00,0
2025-02-16 08:10:59,39.00,23.00,0
2025-02-16 08:11:02,39.00,23.00,0
2025-02-16 08:11:04,38.00,23.00,0
2025-02-16 08:11:07,38.00,23.00,0
2025-02-16 08:11:09,38.00,23.00,0
